u_idx,v_idx,actual,pred
185,767,4.0,3.0168927
185,1286,4.0,3.0717373
185,1981,3.5,3.2064805
188,354,3.0,4.6341133
188,560,2.0,4.579459
188,837,3.5,4.536634
188,1074,2.5,3.884841
188,1332,3.0,4.5598655
188,1702,2.0,3.4540625
189,574,5.0,3.9022398
189,655,5.0,2.7902923
189,895,5.0,3.0276194
190,471,4.0,3.1253786
192,507,5.0,3.1708775
194,443,2.5,3.371144
194,633,2.5,3.2384858
194,787,2.5,2.924679
196,950,5.0,3.0689692
196,1287,5.0,3.0925965
198,163,4.0,3.0585103
198,2064,4.0,3.2178888
198,2492,3.0,3.515242
198,2533,4.0,3.3382
200,129,3.0,4.4123287
203,475,2.5,4.404647
209,317,1.0,4.2740803
209,457,2.0,2.7006686
217,942,5.0,2.7879055
217,1904,4.0,2.7265077
217,2809,5.0,4.3002615
218,287,4.5,2.4938679
218,478,5.0,2.548922
218,1094,3.5,2.6252267
218,1373,4.5,4.248522
218,1946,4.0,4.041164
218,2256,5.0,3.9118116
219,582,2.0,4.032524
221,1265,4.0,4.042239
222,967,2.5,3.522619
222,1722,3.0,3.1013417
222,2426,5.0,3.206193
226,1027,5.0,3.1582768
226,1992,3.0,2.93778
226,2072,3.0,2.916539
229,45,3.0,3.3182464
230,21,5.0,3.1376147
230,2306,4.5,3.4683614
230,2331,5.0,3.2239876
230,2684,3.0,3.0261407
233,929,4.5,3.1605544
234,499,1.0,3.1326287
235,1105,3.0,3.110443
237,1789,4.5,3.1555383
238,446,5.0,3.245895
239,1259,5.0,2.858619
240,706,5.0,2.9257154
240,878,5.0,3.103208
241,6,2.0,3.266798
241,256,2.5,2.8265595
241,1239,3.5,2.8932781
244,1331,4.5,3.1842635
246,1890,5.0,2.8265119
247,717,5.0,3.7428422
247,2929,3.5,3.2450647
248,890,2.0,3.438423
252,1129,3.0,1.9353392
252,1487,4.0,2.1671293
252,1624,3.0,2.3208842
254,155,2.5,1.9421532
256,380,4.5,3.6461153
256,1158,2.5,3.9557328
257,1014,4.0,4.5027914
257,1742,3.5,4.4173193
257,1804,3.5,4.3599176
257,2411,3.5,4.007729
262,282,1.5,4.483714
262,876,3.5,2.0026853
263,487,2.0,3.752798
268,77,3.0,3.6888914
268,144,4.5,3.5395265
268,313,3.0,3.3684824
268,472,3.5,4.655589
268,901,4.5,4.5287232
268,1615,2.5,3.5478818
268,1925,3.0,3.156167
269,118,5.0,4.1369257
269,301,5.0,3.5490165
269,665,5.0,3.3377535
269,869,5.0,3.6312292
271,531,4.5,2.4735465
272,26,4.5,2.4777713
274,89,5.0,2.469398
274,1034,4.5,4.5222597
279,56,4.5,3.8965442
279,125,4.5,4.008603
279,150,5.0,4.1186957
279,240,4.5,4.0339823
279,885,5.0,4.0846233
279,1086,5.0,4.6266756
279,1115,5.0,3.3300653
279,1287,5.0,2.9506128
280,251,3.0,3.2431426
280,1766,3.0,2.9996774
280,2634,1.5,3.9166446
281,1672,2.5,3.6259408
283,287,5.0,3.9753163
283,1031,2.5,3.3845036
284,110,5.0,4.4799776
284,241,1.5,4.0034227
285,264,5.0,3.5126858
289,771,5.0,4.678438
291,34,3.0,4.77262
291,1983,2.5,3.7260253
292,2233,2.5,3.6684086
301,1866,2.5,3.1489677
305,615,0.5,3.9029274
305,1111,3.5,3.6272612
305,1343,4.5,3.7194896
305,2828,4.5,3.778347
305,2954,1.5,3.4470577
308,1093,3.0,3.9560177
310,689,5.0,3.6608071
310,1791,5.0,4.1493835
311,276,1.5,4.27525
315,531,3.5,4.583145
315,993,4.5,4.5926476
315,1264,3.0,3.6998801
315,2766,4.0,3.5839858
318,205,5.0,3.4614534
318,1108,5.0,3.5549057
318,2021,5.0,3.6696813
318,2589,3.0,3.459282
319,211,3.5,3.6222363
322,1156,2.5,4.927394
324,375,5.0,4.8440866
324,1067,5.0,4.9438405
324,1525,4.0,3.7241595
324,1605,5.0,3.2440453
324,2753,5.0,3.7444725
332,445,3.0,3.6870522
333,1229,4.5,3.2452736
341,1013,5.0,4.793397
343,1016,3.5,3.9088354
345,215,2.5,3.5100286
345,2685,4.5,3.317082
346,2187,2.5,3.288957
350,245,1.5,3.9961388
350,728,4.0,3.1954846
350,1574,2.0,2.839745
350,2652,4.5,3.1249468
350,2875,4.0,3.0240757
351,37,3.0,4.143921
351,52,5.0,4.0357533
351,1776,3.5,4.0033655
351,1983,4.5,4.6330748
351,2841,3.0,4.611058
352,1427,4.0,3.6337602
357,1321,3.0,3.678146
360,399,3.0,3.5343962
362,1229,2.0,3.5407853
362,1500,5.0,3.469111
365,192,1.5,3.6913438
365,886,4.5,4.084821
365,1410,4.0,4.031867
365,1497,3.5,4.0864677
365,2189,4.0,4.078579
366,137,4.5,4.1737843
366,424,5.0,4.0361032
367,1637,5.0,3.847436
370,259,3.5,3.9474676
372,482,3.0,3.7049255
374,1708,2.5,3.8362193
375,1191,3.0,4.889407
380,844,2.0,4.8604565
382,58,4.0,4.1523123
382,1102,4.5,3.4074986
382,1574,1.5,3.3890939
382,1898,4.0,3.7855
383,157,5.0,3.9617925
383,526,3.5,4.509035
383,2584,1.5,4.3594656
384,137,5.0,3.8650193
387,1873,3.5,3.2032256
388,270,3.0,3.1231022
388,378,4.0,4.248087
388,2195,3.0,3.9066637
390,1016,3.5,3.670567
391,612,5.0,3.2816308
391,685,4.5,3.8781824
391,2470,5.0,2.569494
398,149,3.5,3.8577342
399,37,0.5,3.905703
399,116,1.5,2.8193874
399,130,4.0,3.134255
399,238,5.0,3.1548052
399,260,3.0,2.7478294
399,323,3.5,4.6359425
399,389,3.5,4.548742
399,405,2.0,4.42172
399,451,2.0,4.1323776
399,491,2.0,4.1772013
399,721,4.5,4.7723513
399,753,2.0,4.75545
399,808,1.5,3.5730772
399,896,3.0,2.2010655
399,1591,2.0,2.1102698
399,2082,2.0,2.2377598
401,245,4.5,2.1384625
402,603,3.5,2.1553016
402,604,3.0,2.2437794
402,2082,5.0,2.2070818
412,50,4.5,2.156
412,247,5.0,2.1663306
412,335,5.0,2.2209537
412,354,5.0,3.9283242
412,1259,5.0,3.618225
412,1392,5.0,3.8518696
412,1669,4.5,3.3000588
412,2341,5.0,3.8227792
412,2547,5.0,4.3548884
412,2900,5.0,4.000164
414,43,4.0,4.2726192
414,226,4.5,3.886828
414,1168,5.0,3.5361757
414,2298,4.0,3.3209047
414,2570,4.0,3.4396346
415,784,4.5,3.9038815
416,1427,4.0,4.2447195
416,2135,2.5,4.0464773
416,2593,3.5,3.1400723
418,225,5.0,3.2679663
418,659,5.0,3.1822624
418,962,5.0,3.4027066
420,1400,3.0,3.6724746
422,104,3.0,4.2388253
422,350,3.5,4.1762466
422,736,4.0,4.127491
422,1941,3.5,4.0915227
423,201,3.5,2.142772
423,619,3.5,3.8848743
423,949,4.0,3.31078
423,1416,3.5,3.5725255
424,1207,2.0,3.608635
424,1321,2.5,3.3737369
424,1959,3.5,3.229607
425,554,4.0,3.483853
426,1461,3.5,3.3548472
426,1538,5.0,3.6108594
426,1734,3.5,4.10491
426,2175,4.0,4.2803006
426,2241,3.5,3.7144775
431,488,3.0,3.386439
432,758,5.0,4.5522494
434,1711,3.5,4.1034408
435,2089,5.0,3.6273577
436,662,4.5,3.8136263
439,2119,3.5,4.792472
440,1151,5.0,3.1199915
444,24,3.0,2.924687
444,88,4.0,3.2728167
444,138,3.0,3.2094493
444,190,3.5,3.9681568
444,1790,3.0,3.7214732
444,1848,3.5,3.1067047
444,2058,3.5,3.2454844
444,2151,2.0,3.2026112
444,2176,3.5,4.203341
444,2564,2.5,4.864913
444,2940,3.0,4.72579
446,828,3.0,3.630212
447,5,4.5,3.7416937
447,55,4.0,3.5485058
447,1653,4.0,3.9268577
447,1820,4.5,3.812984
448,1137,2.5,3.7053273
448,1286,4.0,3.7570076
448,2612,2.0,4.015004
452,16,4.0,3.4435964
452,618,4.5,4.153659
452,1068,3.5,3.5226548
452,1313,4.0,3.4757307
452,2268,4.0,4.240716
457,860,5.0,3.1377032
457,1642,5.0,3.594503
458,431,4.5,3.895093
458,1513,5.0,4.0043736
461,101,3.5,4.043956
461,117,3.0,4.553314
461,142,3.5,3.8428025
461,315,2.0,3.1956158
461,553,3.0,3.2554429
461,643,4.0,3.190544
461,787,4.0,3.6986918
461,1199,3.5,3.6007218
461,2173,4.0,3.8182273
462,691,5.0,3.9335146
463,1923,4.0,3.4415445
463,2009,4.5,4.5929494
463,2057,4.0,4.2847137
466,938,5.0,4.0890064
467,385,4.5,3.0091124
467,443,4.5,2.9675918
467,522,4.5,3.0189452
467,673,5.0,3.736793
467,678,5.0,3.879612
467,934,4.0,3.6448019
467,949,4.0,3.5585678
468,2180,3.5,3.4215517
473,203,1.0,3.5828753
474,264,4.5,3.6649332
474,426,3.5,4.1152983
475,1050,4.5,3.2932258
476,263,4.5,3.5781045
476,1013,3.5,3.6132665
481,543,3.5,3.3159642
482,1285,5.0,3.7928493
484,1462,3.5,3.6407995
487,541,4.0,3.853762
487,1091,4.5,3.8369963
490,356,4.5,3.6889977
491,1768,5.0,3.2222366
491,1943,5.0,3.6309414
492,874,5.0,3.215674
492,991,5.0,3.2901847
492,1755,5.0,3.3872294
493,190,3.5,3.8869052
493,1576,3.0,3.935485
493,1845,3.0,2.9578357
494,330,4.5,3.7977777
494,646,4.0,3.4275777
494,953,4.5,3.7742023
494,1250,5.0,3.5999565
495,2126,5.0,3.656535
495,2182,1.0,3.3937373
496,743,5.0,3.5275385
496,1143,3.5,3.4448657
496,1513,4.5,3.6578403
496,1524,4.5,3.4687219
496,2406,5.0,4.248489
497,1235,4.0,4.3639174
497,1646,4.5,4.017118
499,302,5.0,3.352417
499,515,4.0,3.4085903
501,89,3.0,3.8214393
501,151,4.0,3.4235198
501,1059,5.0,4.020061
503,1459,1.0,3.3723736
507,27,5.0,3.5638056
507,228,4.0,3.135231
510,142,4.0,3.2797608
510,161,3.0,4.8009415
513,1266,0.5,2.9281206
513,1885,5.0,2.8773906
513,2277,5.0,2.8124201
514,2527,3.0,3.1054788
515,297,3.0,3.0071244
519,1439,4.0,3.366225
523,43,2.0,3.4374588
523,354,2.0,3.3570302
523,359,3.0,3.3354368
523,1168,4.0,4.8378863
523,1712,1.5,4.4051037
525,265,4.0,4.5613303
526,310,4.0,4.7030373
526,366,3.0,4.5021353
526,1101,4.0,4.6682653
527,80,1.5,4.5337124
527,605,0.5,4.5153146
528,174,3.5,4.124906
528,870,3.5,3.7065797
528,1457,4.5,3.8881555
528,2023,3.5,4.4710474
528,2165,2.5,3.6357694
529,61,4.5,3.8603442
529,395,4.5,4.6530404
529,758,4.5,4.69112
529,1045,3.0,3.1676478
529,1406,4.5,3.1512277
529,1724,4.5,3.2374752
530,354,3.5,3.3883653
530,656,1.0,3.4826276
530,692,4.5,3.4682121
530,693,1.5,3.5611954
530,778,3.5,3.155264
530,1087,4.0,2.966176
530,1600,1.0,4.4332914
530,1605,4.5,4.3561497
530,1607,4.5,4.3395433
530,1735,0.5,4.441761
530,2627,3.0,4.40445
530,2691,3.0,4.326665
531,131,2.0,4.3732066
531,213,3.0,4.114766
531,861,2.0,3.8857822
531,1009,2.0,4.4272623
531,1192,4.5,4.3055716
532,312,3.0,4.3781843
532,366,2.5,4.304369
532,938,3.0,4.487796
532,1244,3.5,4.3107224
532,1964,3.5,4.1313505
536,2261,3.5,3.8177094
538,575,3.5,2.6681807
538,686,5.0,2.855565
538,1355,5.0,4.6973476
540,918,4.5,4.596348
541,36,3.0,4.681198
541,173,3.5,4.4334264
541,396,3.5,4.752475
541,665,3.0,4.0167785
543,603,5.0,2.4840002
543,2167,5.0,2.5863552
543,2417,4.5,2.7377014
543,2853,5.0,2.7200663
544,1025,5.0,4.6395154
545,1011,5.0,4.378922
546,358,2.0,4.424746
547,1007,4.0,3.9012485
547,1066,3.5,3.8199186
547,1298,3.5,3.2768903
549,359,5.0,3.4979959
549,930,3.0,3.9414296
550,182,5.0,3.9077954
550,293,4.0,4.231935
551,213,4.0,3.4449432
551,563,4.5,3.270463
551,1183,4.0,3.1919277
554,327,5.0,3.5581079
554,592,4.0,4.212037
554,2170,4.0,3.2459936
556,1428,4.0,3.2014513
559,236,4.0,4.3843226
560,1171,4.5,4.1259165
562,1677,3.5,3.9293256
562,1814,2.0,4.108449
563,237,4.5,4.2609415
563,676,3.0,3.7057314
567,231,4.5,4.8216863
567,413,4.5,4.4781485
567,473,4.5,4.458687
567,597,2.5,4.1777544
568,163,5.0,3.5543122
569,882,3.0,3.5592086
574,1070,5.0,3.6537771
576,1604,4.0,3.7755606
577,1023,3.0,3.5784926
578,57,3.5,3.5906682
582,12,3.0,3.3097742
582,1068,4.0,3.6685948
582,1728,3.0,3.175365
588,164,3.5,4.7723894
588,167,4.5,4.566519
588,168,4.5,4.8340874
588,178,4.0,4.674423
588,526,4.5,4.5818853
588,708,4.5,4.646842
588,713,3.0,4.005208
588,756,4.5,3.4115825
591,1539,4.0,4.6830883
591,1677,3.5,4.6268063
596,1427,4.0,3.4155254
598,646,4.5,4.2110586
598,1741,3.5,3.9490755
601,2227,4.0,3.1210308
606,287,3.0,3.5614886
606,473,5.0,3.4033337
606,1877,3.5,3.5013287
615,157,3.5,4.2930202
615,529,4.0,3.8020217
615,765,0.5,3.7490606
615,945,4.5,3.3990188
615,1003,3.0,3.5883749
615,2324,3.5,3.8237088
615,2359,3.5,3.1364
617,530,3.0,3.5890155
617,2642,2.0,3.140107
620,15,3.0,3.6994715
620,120,2.5,3.7685666
620,253,3.5,3.6892977
620,256,3.0,3.4728918
620,296,4.0,3.781084
620,343,3.5,3.7705746
620,495,4.5,4.0550013
620,546,4.0,4.290722
620,874,3.0,4.257576
620,884,4.5,3.929196
620,894,3.0,3.5015063
620,1027,4.0,4.1909676
620,1092,4.5,4.01277
620,1148,4.5,4.2342625
621,176,1.5,4.205927
621,1087,2.0,4.3687816
625,223,5.0,4.3089066
625,964,5.0,3.3542955
625,1201,3.0,4.4816284
627,195,4.0,4.25148
627,358,4.0,4.3983126
627,497,4.0,4.092906
627,554,3.0,3.1365366
629,356,4.5,3.0971954
629,658,3.0,2.954751
629,1561,4.0,3.496352
629,2003,3.0,3.2335238
633,112,4.0,3.2139578
634,424,1.5,3.175941
636,984,3.0,2.9019809
636,1948,2.5,2.96065
636,2621,2.5,3.4480243
639,24,5.0,3.2814553
639,733,4.5,3.4143429
639,2171,4.5,3.7185225
645,1326,5.0,3.7140214
645,2328,5.0,3.230753
646,305,3.5,3.955062
646,321,4.0,4.5555115
646,501,4.0,3.5281253
648,2536,1.5,4.1026955
651,2232,2.5,3.6395497
653,917,4.0,4.6800203
653,1538,3.5,4.5389996
660,59,3.0,2.9783082
661,416,5.0,3.0100057
661,1910,2.5,4.4356375
662,2334,4.0,3.602276
663,59,4.5,3.9566
663,136,3.5,4.547965
663,1200,3.0,3.3612397
664,2873,3.5,3.3729105
665,2815,4.0,3.2971158
666,291,5.0,3.4492145
666,2610,5.0,3.4555073
666,2961,4.0,3.1465688
668,1548,4.0,3.1290748
671,64,5.0,3.214603
671,299,5.0,4.757613
671,522,5.0,4.742318
671,553,5.0,3.9629622
671,863,5.0,3.9730778
671,1883,3.5,3.9995003
674,907,4.5,4.8058343
675,527,5.0,4.5183983
675,905,5.0,3.9241614
675,2021,5.0,3.8891745
676,422,4.0,3.8121328
676,2310,3.0,3.8915856
676,2524,3.5,3.9119177
677,465,3.5,3.7302432
677,1431,4.0,3.878645
679,1283,4.0,3.918458
679,2197,2.5,3.3024068
680,241,3.5,3.3401377
680,494,5.0,3.858766
681,1067,3.0,3.3664289
684,18,4.5,3.249338
684,219,5.0,3.541273
686,172,2.5,4.8600225
687,360,4.0,4.7389436
687,670,3.5,4.8925877
687,1112,3.5,4.810256
687,1614,3.5,3.312137
687,2617,3.5,3.3677633
691,1385,4.5,3.268175
692,1810,3.5,3.3038754
695,519,3.5,3.3152926
695,2016,3.5,3.3303933
699,331,2.5,3.4655097
702,23,3.5,3.219554
703,206,2.5,3.1376584
704,371,5.0,3.6014037
708,526,4.0,3.510077
708,664,2.0,3.533703
708,1214,1.0,3.3233874
708,1810,0.5,2.8220687
709,259,3.0,3.1060534
709,2011,3.5,2.838417
709,2220,1.5,2.9681945
710,1709,5.0,2.7575095
711,152,3.5,3.4098892
712,1469,5.0,4.752555
713,71,4.5,4.777122
713,233,2.5,4.8245754
713,249,4.0,3.9146662
713,705,2.0,4.784764
714,963,4.0,4.7693853
714,1954,4.0,3.6420574
714,2113,2.5,3.4316132
715,94,2.0,3.5260005
715,1159,2.5,4.023859
715,1587,4.0,3.882339
715,1665,4.0,2.9517095
715,2148,2.5,3.1227038
719,1012,5.0,3.0393233
719,1608,3.5,2.958361
723,4,4.0,3.573064
723,2280,4.0,3.1205776
724,54,3.0,3.3397636
725,358,5.0,3.6014137
725,420,5.0,3.4978461
725,465,4.5,3.7153811
725,505,4.0,3.782836
725,982,4.0,4.030725
725,2072,3.5,3.9236257
727,649,2.0,4.017591
727,689,4.5,4.152988
727,2171,4.5,3.9591572
733,2303,5.0,3.2479134
735,1941,4.5,3.260912
736,1406,5.0,3.3083773
736,1882,5.0,3.257575
740,2726,3.5,3.2635064
747,53,3.0,3.378451
749,32,5.0,3.298439
749,420,4.0,4.0845337
750,203,5.0,4.5798416
750,1011,4.5,4.717946
754,211,2.5,3.3387449
754,1904,4.5,3.4338977
756,59,4.0,3.9593666
756,1750,4.0,3.3521152
757,29,4.5,4.224553
757,2320,4.5,4.1845837
759,1858,4.0,4.618125
759,2435,3.5,4.9063125
760,21,3.5,4.917594
760,51,0.5,4.8439784
760,277,3.5,4.8587594
760,431,3.0,4.9228425
760,727,1.5,4.409529
760,1730,2.5,3.491942
760,1736,3.0,3.4014502
760,2521,3.5,3.8507493
765,112,3.5,3.6886292
765,139,1.0,3.4215264
765,361,2.5,3.2486744
765,2750,2.0,3.4825706
766,247,1.0,3.2288592
766,558,5.0,3.4761963
769,841,4.5,3.9752014
770,2339,4.5,4.2906523
772,1562,4.0,4.0618334
774,131,3.5,3.554254
774,280,5.0,3.7596822
774,1348,4.0,3.938449
774,1415,3.5,3.9196863
774,2168,4.0,3.102962
774,2347,4.5,3.747395
774,2397,5.0,3.4297237
776,1158,3.0,3.4162154
787,111,4.0,3.4033637
787,570,4.0,3.4676366
787,571,5.0,3.349524
787,631,4.0,4.9014635
787,865,5.0,4.4528
787,1100,3.5,4.4405255
788,166,4.0,4.345152
788,227,4.0,3.9751039
789,711,5.0,3.7023816
789,824,3.5,3.9913826
797,934,4.0,3.739365
801,427,3.0,3.5494168
801,716,4.0,3.7801445
801,1379,4.5,3.7069945
801,2025,3.5,3.7050614
801,2184,3.5,2.1225214
801,2302,2.5,3.7562068
801,2350,3.5,4.0319185
805,2024,2.5,3.5710347
814,433,5.0,3.8265905
817,172,4.5,3.3789015
821,179,4.0,3.5961711
821,296,4.5,3.624619
824,686,5.0,4.2535124
826,969,3.0,4.11231
826,1179,2.5,4.588238
827,121,4.0,3.4747846
827,256,3.5,3.3230896
827,297,3.0,3.2168293
827,1049,3.0,4.1938143
827,1458,3.0,4.4763947
827,2248,3.0,4.289546
827,2576,3.5,4.2029924
828,629,4.5,4.3860335
833,21,3.0,3.620061
833,74,3.5,3.404353
833,176,3.0,3.2757673
840,31,3.0,3.4788086
840,520,3.0,3.4678996
845,813,4.0,3.894809
847,1367,3.5,3.6782649
847,1818,4.0,3.6733005
847,2828,2.0,3.5827913
849,681,3.5,4.0700808
849,741,3.0,4.597319
850,162,2.0,3.7565432
851,323,1.0,3.4823322
852,155,5.0,3.3305879
852,327,5.0,3.8863757
852,670,3.0,3.7330856
852,917,4.0,4.0341606
852,1448,5.0,3.8375542
853,32,4.5,4.08722
853,393,4.0,3.878843
853,2564,5.0,4.17187
854,106,3.5,3.9867284
854,1033,3.5,3.7390156
854,1115,3.5,3.853046
854,1385,3.5,4.254366
855,1828,4.5,3.9303298
856,606,3.0,3.7707655
856,1671,4.0,3.9081354
857,63,4.5,4.0249386
857,1779,5.0,3.9501035
857,2166,5.0,3.4918365
857,2552,4.5,3.646059
859,720,3.5,3.4651453
861,965,3.5,3.6916494
861,2278,3.0,3.6888056
866,2183,5.0,3.5947638
867,33,3.5,3.551829
867,152,4.0,2.761724
869,416,5.0,3.6522498
870,525,5.0,3.9652393
870,946,4.0,3.925953
870,1109,5.0,3.9533107
870,1565,4.0,3.846861
870,1746,4.0,4.2508774
870,2234,5.0,4.035731
870,2650,3.0,3.9419506
873,1117,5.0,3.8262556
874,389,2.5,4.2639627
874,433,2.0,3.5840557
874,853,3.0,3.0205588
874,1324,3.0,3.7196054
874,1815,3.5,3.536739
877,1588,3.5,3.5176468
883,192,3.5,4.8700676
885,1513,2.0,4.77416
887,479,5.0,3.464899
887,1016,5.0,4.3110323
887,1272,5.0,3.7091036
889,1481,3.0,3.7358885
890,30,4.5,3.6378043
890,195,4.0,3.839004
890,201,2.5,3.7944179
890,797,4.5,3.8736725
890,804,2.5,3.569822
890,1569,5.0,3.9645004
890,2119,1.0,3.9146457
892,84,4.0,2.5169978
892,2281,4.0,2.4821148
894,694,4.0,2.6192846
894,729,4.0,2.447244
894,883,4.0,2.452178
895,97,4.5,2.637188
899,945,3.5,2.432665
899,1003,4.5,2.4499664
904,654,3.0,2.4761772
904,2223,2.0,2.5064368
905,20,3.5,2.5149255
905,771,3.5,2.5191255
905,1573,3.5,2.5044587
909,53,5.0,2.8329682
909,276,2.0,2.535438
909,1007,4.5,2.612659
910,303,4.0,2.5777843
913,0,3.5,2.6483831
915,99,5.0,2.552868
915,2282,4.0,2.5536273
920,677,2.0,4.8246527
923,63,2.5,4.918591
